,lng,lat
206,-73.980072,40.660264
207,-73.882363,40.755883
208,-73.933796,40.849214
209,-74.011475,40.71445
210,-73.941156,40.619598
211,-73.905244,40.872895
212,-73.993159,40.73348
213,-73.8986358962,40.7126105502
214,-73.9426665284,40.6642341212
215,-73.914227,40.762103
216,-73.882434,40.746784
217,-73.892286,40.860785
218,-73.817769,40.585447
219,-73.8419,40.78528
220,-73.937012,40.81939
221,-73.935974,40.700764
222,-73.970754,40.794226
223,-73.779843,40.691423
224,-73.9538068683,40.8065408544
225,-74.0138,40.707514
226,-73.895131,40.661264
227,-73.955301,40.577521
228,-74.007295,40.72754
229,-73.780203,40.71353
230,-73.989535,40.740089
231,-73.986448,40.640492
232,-73.82038,40.824712
233,-74.0056499542,40.7265462646
234,-73.8625749635,40.7495340664
235,-73.91796,40.831992
236,-73.942038,40.831164
237,-73.9555202559,40.6804312436
238,-73.977509,40.779153
239,-73.901821,40.822812
240,-73.845801,40.784629
241,-74.018997,40.642121
242,-73.9534251346,40.6809848586
243,-73.938407,40.846299
244,-73.940863,40.799673
245,-74.011586,40.647412
246,-74.002318,40.676024
247,-73.956281,40.7798
248,-73.9351833377,40.8499203423
249,-73.919978,40.813069
250,-73.9617526864,40.6826896874
251,-73.926022,40.662896
252,-73.904301,40.864259
253,-73.7856427005,40.7707872243
254,-73.837715,40.580717
255,-73.9315655871,40.6949009039
256,-73.926682,40.810754
257,-73.930011,40.764285
258,-73.845714,40.842664
259,-73.770126,40.760124
260,-73.920872,40.826873
261,-73.965871,40.800515
262,-73.995126,40.577832
263,-73.874016,40.76278
264,-73.9935703798,40.6929091558
265,-73.929847,40.686833
266,-73.887902,40.63497
267,-73.930751,40.656614
268,-73.917668,40.828696
269,-73.923725,40.591563
270,-73.903226,40.741347
271,-73.973851,40.789261
272,-73.799185,40.692803
273,-73.92252,40.767412
274,-73.995033,40.573627
275,-73.907616,40.844253
276,-73.983744,40.676396
277,-73.843312,40.861873
278,-73.946366,40.793174
279,-73.913185766,40.6693099597
280,-73.8739311829,40.8267372288
281,-73.922814,40.619195
282,-73.867794,40.851139
283,-73.898218,40.832572
284,-73.910756,40.768814
285,-73.760112,40.692284
286,-73.83211,40.701022
287,-74.005889,40.654293
288,-73.910533,40.668916
289,-73.909821,40.886189
290,-73.976959,40.604764
291,-73.975700924,40.68681887
292,-73.910519,40.775997
293,-73.902301,40.882428
294,-73.955695,40.764199
295,-73.962148,40.678362
296,-73.98689,40.77501
297,-73.976737,40.681928
298,-73.954359,40.707187
299,-73.939872,40.809672
300,-74.01145,40.716972
301,-73.951676,40.690964
302,-73.959195,40.696493
303,-73.824221,40.70292
304,-73.961735,40.607384
305,-73.941607,40.651196
306,-73.827317,40.86955
307,-73.780296,40.771755
308,-73.919655,40.766103
309,-73.921751,40.81963
310,-73.965585,40.795501
311,-73.87545,40.872447
312,-73.845679,40.720498
313,-73.952606,40.652038
314,-73.828345,40.755585
315,-73.8887965947,40.8179721646
316,-73.8304310412,40.8763399272
317,-74.026869,40.620752
318,-73.947439,40.796457
319,-73.921706,40.741449
320,-73.982731,40.748062
321,-73.867731,40.722754
322,-73.98629,40.673256
323,-73.942536,40.665645
324,-74.012308,40.61563
325,-73.81167,40.81538
326,-73.9555202559,40.6804312436
327,-74.007488,40.704932
328,-74.011475,40.71445
329,-73.977886,40.67553
330,-73.929553,40.862326
331,-73.990254,40.685037
332,-74.006161,40.70943
333,-73.8971542923,40.8622760826
334,-73.949675,40.781999
335,-73.923096,40.743665
336,-73.927933,40.809874
337,-73.941577,40.620328
338,-73.981652,40.575544
339,-73.888817,40.749266
340,-73.911567,40.762271
341,-74.150970261,40.625368226
342,-73.981417,40.773832
343,-73.8625749635,40.7495340664
344,-73.920563,40.842943
345,-73.950725,40.661458
346,-73.731875,40.71228
347,-73.9590936131,40.7091483368
348,-73.940585,40.800055
349,-73.952564,40.588694
350,-73.913179,40.824002
351,-74.008006,40.7274
352,-73.753183,40.602997
353,-73.842466,40.680387
354,-73.948721,40.777788
355,-73.928909,40.818987
356,-73.979692,40.734842
357,-74.008903,40.639556
358,-73.93938,40.699303
359,-73.936139,40.848209
360,-73.945533,40.786378
361,-73.762702,40.713377
362,-73.895131,40.661264
363,-73.90982,40.745524
364,-73.882261,40.648293
365,-73.980355,40.614888
366,-73.941338,40.81853
367,-74.028753,40.629079
368,-73.8861426483,40.880447333
369,-73.9191520258,40.868291483
370,-73.892125,40.830947
371,-74.000731,40.640545
372,-73.909191,40.857997
373,-73.886561,40.664728
374,-73.928338,40.866415
375,-73.962231,40.805227
376,-73.767199,40.593779
377,-73.99805,40.646542
378,-73.955205,40.779328
379,-73.9925319211,40.7243064392
380,-73.997965,40.598972
381,-73.859522,40.889536
382,-73.843075,40.85993
383,-73.996351,40.744404
384,-73.91079,40.635553
385,-73.731288,40.760565
386,-73.907886,40.876062
387,-73.836568,40.57869
