,lng,lat
214,-73.99696,40.579586
215,-73.92205,40.658615
216,-73.80809,40.746174
217,-73.91081,40.747448
218,-74.0141676,40.6395739
219,-74.12904,40.633904
220,-73.92643,40.667343
221,-73.887115,40.658955
222,-73.84479,40.67347
223,-73.91136,40.61231
224,-73.98842,40.712395
225,-73.853117,40.686084
226,-73.86533,40.73185
227,-73.92505,40.807877
228,-74.07444,40.637283
229,-73.92977,40.827545
230,-73.86791,40.873684
231,-74.086006,40.643402
232,-73.82601,40.755924
233,-73.90824,40.87752
234,-73.794876,40.692673
235,-73.949556,40.6635039
236,-73.9239,40.70316
237,-73.933044,40.61199
238,-73.93057,40.603966
239,-73.94425,40.708977
240,-73.86148,40.846886
241,-73.991325,40.75895
242,-73.97217,40.600685
243,-73.95738,40.59696
244,-73.95913,40.80509
245,-73.95913,40.80509
246,-73.92547,40.784065
247,-73.914856,40.83132
248,-73.967255,40.672714
249,-73.948654,40.747284
250,-73.92698,40.8349
251,-73.994995,40.700706
252,-73.87223,40.837254
253,-73.92257,40.7411
254,-73.91219,40.674416
255,-74.0816,40.595417
256,-73.97153,40.693928
257,-73.941768,40.831688
258,-73.84252,40.840706
259,-73.850914,40.823414
260,-73.938,40.63822
261,-73.97058,40.69041
262,-73.84083,40.88834
263,-73.833084,40.84967
264,-73.833084,40.84967
265,-73.833084,40.84967
266,-73.833084,40.84967
267,-73.9772,40.768486
268,-73.94287,40.79268
269,-73.94425,40.68209
270,-74.186195,40.5227
271,-73.96861,40.650845
272,-73.97378,40.666973
273,-73.96861,40.650845
274,-73.96389,40.661667
275,-73.96389,40.661667
276,-73.89097,40.851025
277,-73.72282,40.747917
278,-73.94884,40.756725
279,-73.8974,40.81912
280,-73.94076,40.76607
281,-73.84953,40.819286
282,-74.00402,40.672276
283,-74.00402,40.672276
284,-74.009445,40.67728
285,-74.00402,40.672276
286,-73.90163,40.71866
287,-73.89685,40.82721
288,-73.85863,40.887676
289,-73.905945,40.871883
290,-73.9844978,40.7857406
291,-73.973044,40.801947
292,-73.98598,40.784042
293,-73.975091,40.797175
294,-73.978858,40.793441
295,-73.986104,40.783955
296,-73.982183,40.787103
297,-73.9526712,40.8241473
298,-73.96528,40.81206
299,-73.96923,40.748047
300,-73.8115,40.586723
301,-73.8115,40.586723
302,-73.8115,40.586723
303,-73.8115,40.586723
304,-73.8115,40.586723
305,-73.95591,40.709785
306,-73.77017,40.688076
307,-73.80404,40.703915
308,-73.986305,40.60811
309,-73.91651,40.88594
310,-74.03997,40.628002
311,-74.03997,40.628002
312,-74.03997,40.628002
313,-74.03997,40.628002
314,-74.093254,40.627666
315,-73.89832,40.857315
316,-73.982185,40.664764
317,-73.96877,40.789574
318,-73.983894,40.7142
319,-73.85973,40.82221
320,-74.07386,40.5829
321,-74.072975,40.58692
322,-73.85973,40.82221
323,-73.88436,40.677143
324,-73.76176,40.66107
325,-73.94954,40.817917
326,-73.779042,40.692911
327,-73.94223,40.67856
328,-73.95857,40.765057
329,-73.911736,40.81099
330,-73.94954,40.817917
331,-73.94954,40.817917
332,-73.97363,40.74497
333,-73.945,40.781387
334,-73.839517,40.885244
335,-73.94737,40.706486
336,-73.948654,40.697243
337,-73.96192,40.674812
338,-74.01238,40.64553
339,-74.00229,40.64665
340,-73.86598,40.83913
341,-73.97868,40.781727
342,-74.09849,40.613586
343,-73.84549,40.83874
344,-73.93525,40.793365
345,-73.89437,40.82477
346,-73.91103,40.688217
347,-74.10344,40.601433
348,-73.98177,40.726376
349,-73.89171,40.84281
350,-73.96577,40.676716
351,-73.96629,40.688625
352,-73.990395,40.73594
353,-73.878296,40.896496
354,-74.00266,40.725254
355,-73.88117,40.844227
356,-73.86221,40.8342
357,-73.820404,40.718155
358,-73.854675,40.90181
359,-73.966657,40.695476
360,-73.997949,40.7312823
361,-73.86892,40.828457
362,-73.8929,40.859543
363,-73.988662,40.7711104
364,-73.97642,40.576805
365,-73.809555,40.792046
366,-73.96409,40.715195
367,-73.877556,40.87791
368,-73.922844,40.810955
369,-74.15811,40.600563
370,-73.94425,40.658596
371,-73.86874,40.866177
