FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
Bottle Filler High Low,POINT (-73.94698341046764 40.8122383785103),"Near Ballfield, Under Tree, Just Outside Playground",St. Nicholas Playground North,1,Active,40.81223838,-73.94698341
C,POINT (-73.97153220943159 40.68894901815161),"Out in Open, In Playground",Edmonds Playground,3,Active,40.68894902,-73.97153221
C,POINT (-73.79132386731557 40.869661873428186),Under Tree,Pelham Bay Park,2,Active,40.86966187,-73.79132387
A,POINT (-73.8504468840541 40.74624860983386),Under Tree,Flushing Meadows Corona Park,4,Active,40.74624861,-73.85044688
A,POINT (-73.76864162333601 40.73609736241555),"Out in Open, Near Ballfield",Cunningham Park,4,Active,40.73609736,-73.76864162
A,POINT (-74.11022936741053 40.64304857079267),Near Ballfield,Walker Park,5,Active,40.64304857,-74.11022937
A,POINT (-73.73492448589441 40.76213588548124),In Playground,Louis Pasteur Park,4,Active,40.76213589,-73.73492449
D,POINT (-73.92637398686408 40.606495519995285),In Playground,Marine Park,3,Active,40.60649552,-73.92637399
A,POINT (-73.93484302270564 40.82530296146139),"Under Tree, Near Ballfield, Just Outside Playground",Harlem Lane Playground,1,Active,40.82530296,-73.93484302
B,POINT (-73.9513189955382 40.794479169846326),Out in Open,Central Park,1,Active,40.79447917,-73.951319
CS Concrete,POINT (-73.74243376363329 40.68855902980844),In Playground,Cambria Playground,4,Active,40.68855903,-73.74243376
D,POINT (-73.93387376882052 40.679655693940674),,Fulton Park,3,Active,40.67965569,-73.93387377
D,POINT (-73.87144485173016 40.76560679414878),"Out in Open, Just Outside Playground",East Elmhurst Playground,4,Active,40.76560679,-73.87144485
A,POINT (-73.74468190867563 40.59562736052266),In Playground,Beach 9 Playground,4,Active,40.59562736,-73.74468191
C,POINT (-73.90329275912869 40.833156743351516),"Just Outside Playground, Out in Open",Drew Playground,2,Active,40.83315674,-73.90329276
F High Low,POINT (-73.75693440722569 40.67393397842264),In Playground,Montbellier Park,4,Active,40.67393398,-73.75693441
E Wheelchair Child,POINT (-73.96567923056917 40.78967090928818),In Playground,Central Park,1,Active,40.78967091,-73.96567923
Other,POINT (-73.95871026971214 40.78431795116971),Out in Open,Central Park,1,Active,40.78431795,-73.95871027
E High Low,POINT (-73.85113044656136 40.707601850619),In Playground,Forest Park,4,Active,40.70760185,-73.85113045
A,POINT (-73.97214880659322 40.600497203068116),Out in Open,McDonald Playground,3,Active,40.6004972,-73.97214881
CS Concrete,POINT (-73.9489760837491 40.769199405157565),Out in Open,John Jay Park,1,Active,40.76919941,-73.94897608
A,POINT (-73.7411948128765 40.74196808796241),"In Shade, Just Outside Playground",Alley Pond Park,4,Active,40.74196809,-73.74119481
A,POINT (-73.80072517896106 40.85821797126632),Near Ballfield,Pelham Bay Park,2,Active,40.85821797,-73.80072518
D,POINT (-73.85462335405809 40.70237776321849),Near Ballfield,Forest Park,4,Active,40.70237776,-73.85462335
E Wheelchair,POINT (-73.95935160168357 40.57505373322257),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57505373,-73.95935159999998
A,POINT (-73.83999897340489 40.74459923188367),Under Tree,Flushing Meadows Corona Park,4,Active,40.74459923,-73.83999897
F High Low,POINT (-73.98668548395352 40.60791958388961),Out in Open,Seth Low Playground/ Bealin Square,3,Active,40.60791958,-73.98668548
A,POINT (-73.89358895950126 40.65404644440156),"Under Tree, Out in Open, Near Ballfield",Breukelen Ballfields,3,Active,40.65404644,-73.89358896
E High Low,POINT (-73.91098259074904 40.61240295429488),"Out in Open, Just Outside Playground",Lindower Park,3,Active,40.61240295,-73.91098259
C,POINT (-73.9881139604993 40.684853487337236),In Playground,Nicholas Naquan Heyward Jr. Park,3,Active,40.68485349,-73.98811396
Other,POINT (-74.10720055282884 40.61826863270475),Near Ballfield,Clove Lakes Park,5,Active,40.61826863,-74.10720055
A,POINT (-73.77358437206277 40.674984787293354),Under Tree,Rochdale Park,4,Active,40.67498479,-73.77358437
A,POINT (-73.84589339065099 40.74546499173894),Out in Open,Flushing Meadows Corona Park,4,Active,40.74546499,-73.84589339
C,POINT (-73.90185665253958 40.83157158567185),"Under Tree, In Shade",Beatty Plaza,2,Active,40.83157159,-73.90185665
E Wheelchair,POINT (-74.03484888908284 40.64032369984649),Out in Open,Owl's Head Park,3,Active,40.6403237,-74.03484889
Trough High Low,POINT (-73.872234628141 40.817976578020634),Near Ballfield,Soundview Park,2,Active,40.81797658,-73.87223463
A,POINT (-73.98487308956838 40.70045155521341),Out in Open,Bridge Park 3,3,Active,40.70045156,-73.98487309
A,POINT (-73.85825124307124 40.70005151617978),In Shade,Forest Park,4,Active,40.70005152,-73.85825124
D,POINT (-73.89263375608628 40.876965542686165),"Near Ballfield, Out in Open",Harris Park,2,Active,40.87696554,-73.89263376
D,POINT (-73.80955252367886 40.585025139935354),"Out in Open, Just Outside Playground",Rockaway Beach Boardwalk,4,Active,40.58502514,-73.80955252
D,POINT (-74.07597009277293 40.64182023496066),Out in Open,Barrett Triangle,5,Active,40.64182023,-74.07597009
E Wheelchair,POINT (-74.02009326916348 40.65239023050206),Near Ballfield,Bush Terminal Park,3,Active,40.65239023,-74.02009327
A,POINT (-73.94146166770278 40.82138179237663),Near Ballfield,Renaissance Playground,1,Active,40.82138179,-73.94146167
A,POINT (-73.90406952813515 40.664452967100246),"Under Tree, In Shade",Van Dyke Playground,3,Active,40.66445297,-73.90406953
A,POINT (-73.84890736106092 40.743136482784834),Under Tree,Flushing Meadows Corona Park,4,Active,40.74313648,-73.84890736
A,POINT (-73.82051690019053 40.71850655618584),Near Ballfield,Judge Moses Weinstein Playground,4,Active,40.71850656,-73.82051690000002
A,POINT (-73.77179552189398 40.73524064639295),"Out in Open, Near Ballfield",Cunningham Park,4,Active,40.73524065,-73.77179552
Other,POINT (-73.96132928963269 40.81855728100816),Out in Open,West Harlem Piers,1,Active,40.81855728,-73.96132929
C,POINT (-73.72691452383496 40.68488878724509),Out in Open,Laurelton Parkway,4,Active,40.68488879,-73.72691452
Bottle Filler High Low,POINT (-73.96770986393 40.65098964282986),"Under Tree, Near Ballfield",Parade Ground,3,Active,40.65098964,-73.96770986
C,POINT (-73.87175369655377 40.8376468543322),Near Ballfield,Noble Playground,2,Active,40.83764685,-73.8717537
D,POINT (-73.90124431066046 40.826020518489194),"Out in Open, Near Ballfield",Behagen Playground,2,Active,40.82602052,-73.90124431
D,POINT (-73.89833647800462 40.619860501797),"Out in Open, Near Ballfield",Belt Parkway/Shore Parkway,3,Active,40.6198605,-73.89833648
E Wheelchair,POINT (-73.9721622821201 40.72520985965128),Near Ballfield,John V. Lindsay East River Park,1,Active,40.72520986,-73.97216228
A,POINT (-73.94274189986473 40.82401769094143),"In Shade, Just Outside Playground",Jackie Robinson Park,1,Active,40.82401769,-73.94274190000002
A,POINT (-73.88783071962041 40.67080073733966),Near Ballfield,Sutter Ballfields,3,Active,40.67080074,-73.88783072
A,POINT (-74.0080277762837 40.67270686694591),Out in Open,Red Hook Recreation Area,3,Active,40.67270687,-74.00802778
A,POINT (-74.00511839234181 40.68432566131259),In Playground,Mother Cabrini Park,3,Active,40.68432566,-74.00511839
A,POINT (-73.94881418352253 40.69722353523503),"Under Tree, In Playground",Stockton Playground,3,Active,40.69722354,-73.94881418
A,POINT (-74.0839160928226 40.638869255098705),In Shade,Liotti Ikefugi Playground,5,Active,40.63886926,-74.08391609
A,POINT (-73.87881496771051 40.81757771324075),Near Ballfield,Soundview Park,2,Active,40.81757771,-73.87881497
Bottle Filler High Low,POINT (-73.95071798059855 40.79989729592403),"Near Ballfield, In Playground",Martin Luther King Jr. Playground,1,Active,40.7998973,-73.95071798
B,POINT (-73.95926554135279 40.79099634707086),"In Playground, Out in Open",Central Park,1,Active,40.79099635,-73.95926554
A,POINT (-73.91610625888434 40.88543849976244),Out in Open,Seton Park,2,Active,40.8854385,-73.91610626
A,POINT (-73.89772825958961 40.82676731746211),In Playground,Rev J Polite Playground,2,Active,40.82676732,-73.89772826
Bottle Filler High Low,POINT (-73.75850736554943 40.59916978432136),Near Ballfield,Grassmere Playground,4,Active,40.59916978,-73.75850737
A,POINT (-73.80554179702263 40.58620068709715),Out in Open,Rockaway Beach Boardwalk,4,Active,40.58620069,-73.8055418
C,POINT (-73.78768220174804 40.74469540341895),In Playground,Kissena Corridor Park,4,Active,40.7446954,-73.7876822
E Wheelchair,POINT (-74.00188408269683 40.71487722013969),Out in Open,Thomas Paine Park,1,Active,40.71487722,-74.00188408
F High Low,POINT (-73.91169533684732 40.664225206828284),Just Outside Playground,Betsy Head Park,3,Active,40.66422521,-73.91169534
CS Concrete,POINT (-73.91399899171756 40.64924212879903),"Out in Open, In Playground",Railroad Playground,3,Active,40.64924213,-73.91399899
E Wheelchair,POINT (-73.94059488686253 40.66239936748259),Out in Open,Hamilton Metz Field,3,Active,40.66239937,-73.94059489
E Wheelchair Dog,POINT (-73.89409488956684 40.83909548534704),Out in Open,Crotona Park,2,Active,40.83909549,-73.89409489
Other,POINT (-73.94666789285907 40.59788153086625),In Playground,Galapo Playground,3,Active,40.59788153,-73.94666789
D,POINT (-73.88641265254807 40.74411284389976),Just Outside Playground,Frank D. O'Connor Playground,4,Active,40.74411284,-73.88641265
D,POINT (-73.96893357352158 40.78940889523536),"Near Ballfield, In Playground",Sol Bloom Playground,1,Active,40.7894089,-73.96893357
C,POINT (-73.9135719536186 40.68166702111084),"Under Tree, In Shade",Marion Hopkinson Playground,3,Active,40.68166702,-73.91357195
A,POINT (-73.87851014691479 40.87772860700298),"Just Outside Playground, Under Tree",Williamsbridge Oval,2,Active,40.87772861,-73.87851015
E Wheelchair,POINT (-73.98672289313475 40.57240737604474),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57240738,-73.98672289
C,POINT (-73.85482947753904 40.755488059978795),Near Ballfield,Hinton Park,4,Active,40.75548806,-73.85482948
A,POINT (-73.89665258417033 40.74234315413835),Out in Open,Crosson Green,4,Active,40.74234315,-73.89665258
E Wheelchair Dog,POINT (-73.9780546761505 40.740252757517084),In Playground,Bellevue South Park,1,Active,40.74025276,-73.97805468
D,POINT (-74.00005580010607 40.60899815414499),"Out in Open, Just Outside Playground",Garibaldi Playground,3,Active,40.60899815,-74.0000558
E Wheelchair,POINT (-73.9321853928606 40.85530991302039),Under Tree,Gorman Park,1,Active,40.85530991,-73.93218539
A,POINT (-74.00560879807102 40.67195825984814),"Out in Open, Near Ballfield",Red Hook Recreation Area,3,Active,40.67195826,-74.0056088
A,POINT (-73.89937817405307 40.64654090707357),"Under Tree, Out in Open, In Shade, Near Ballfield",100% Playground,3,Active,40.64654091,-73.89937817
C,POINT (-73.89107843541382 40.65048657281689),"Out in Open, Near Ballfield",Breukelen Ballfields,3,Active,40.65048657,-73.89107844
D,POINT (-73.9897644819069 40.661177491097675),In Playground,Slope Park,3,Active,40.66117749,-73.98976448
A,POINT (-73.80093507161138 40.71564007088349),In Playground,Joseph Austin Playground,4,Active,40.71564007,-73.80093507
C,POINT (-73.90494026014913 40.86378086219101),"Out in Open, In Playground",Devoe Park,2,Active,40.86378086,-73.90494026
C,POINT (-73.939425677638 40.59821859410684),In Playground,Herman Dolgon Playground,3,Active,40.59821859,-73.93942568
A,POINT (-74.09421989896165 40.62682071365752),Under Tree,Silver Lake Park,5,Active,40.62682071,-74.0942199
B,POINT (-73.98157137935475 40.725669641801375),"Under Tree, Just Outside Playground",Tompkins Square Park,1,Active,40.72566964,-73.98157138
Other,POINT (-74.00279512364283 40.69370442912167),Out in Open,Brooklyn Bridge Park,3,Active,40.69370443,-74.00279512
D,POINT (-73.90613666631432 40.655935613294034),Out in Open,Osborn Playground,3,Active,40.65593561,-73.90613667
E Wheelchair,POINT (-74.00122646059248 40.73734332672856),Out in Open,NYC AIDS Memorial Park at St. Vincent’s Triangle,1,Active,40.73734333,-74.00122646
CS Concrete,POINT (-73.94439434740653 40.7832649277506),Out in Open,Stanley Isaacs Playground,1,Active,40.78326493,-73.94439435
E Wheelchair,POINT (-73.97701037028177 40.712816833268796),Near Ballfield,John V. Lindsay East River Park,1,Active,40.71281683,-73.97701037
E Wheelchair,POINT (-73.8654369513812 40.732074194231096),Under Tree,Lost Battalion Hall Recreation Center,4,Active,40.73207419,-73.86543695
E Wheelchair,POINT (-73.99775063318927 40.73154825000788),"Under Tree, Just Outside Playground",Washington Square Park,1,Active,40.73154825,-73.99775063
A,POINT (-73.9501102546543 40.720933102698844),"Under Tree, In Playground",McCarren Park,3,Active,40.7209331,-73.95011025
C,POINT (-73.93922233302175 40.71879752181938),"Under Tree, In Shade, In Playground",Frost Playground,3,Active,40.71879752,-73.93922233
B,POINT (-73.84714009945814 40.76093415618855),Under Tree,Flushing Meadows Corona Park,4,Active,40.76093416,-73.84714009999998
A,POINT (-74.0830635522819 40.574242004923335),Near Ballfield,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.574242,-74.08306355
A,POINT (-73.97764810634683 40.79360001650474),Just Outside Playground,Riverside Park,1,Active,40.79360002,-73.97764811
E Wheelchair Child,POINT (-73.92399684329807 40.7934613247064),Near Ballfield,Randall's Island Park,1,Active,40.79346132,-73.92399684
A,POINT (-74.03627061662476 40.62683898969621),Near Ballfield,Fort Hamilton Athletic Field,3,Active,40.62683899,-74.03627062
B,POINT (-73.96444483341175 40.65989478788948),Out in Open,Prospect Park,3,Active,40.65989479,-73.96444483
Trough,POINT (-74.07259510381226 40.628190333721555),Out in Open,Stapleton Esplanade,5,Active,40.62819033,-74.07259509999999
Pedestal,POINT (-73.92298915305912 40.800065753793604),Out in Open,Randall's Island Park,1,Active,40.80006575,-73.92298915
E Wheelchair Child,POINT (-74.00396403532989 40.706186849450475),Out in Open,Imagination Playground,1,Active,40.70618685,-74.00396404
D,POINT (-73.89080259283395 40.87621864004125),"Near Ballfield, Out in Open",Harris Park,2,Active,40.87621864,-73.89080259
D,POINT (-73.76080959263098 40.592528056268655),In Playground,Beach 30th Street Playground,4,Active,40.59252806,-73.76080959
E Wheelchair,POINT (-73.88258463237801 40.719779302519086),Near Ballfield,Juniper Valley Park,4,Active,40.71977929999999,-73.88258463
C,POINT (-73.89767639896174 40.82401739511387),In Playground,Horseshoe Playground,2,Active,40.8240174,-73.89767640000002
A,POINT (-73.9045985831213 40.726981737697734),Under Tree,Frank Principe Park,4,Active,40.72698174,-73.90459858
F,POINT (-73.91441286119836 40.675091680671215),Just Outside Playground,Saratoga Ballfields,3,Active,40.67509168,-73.91441286
A,POINT (-73.93567654072771 40.76227786125426),In Playground,Ravenswood Playground,4,Active,40.76227786,-73.93567654
E Wheelchair,POINT (-73.93458907223871 40.67415580803042),Out in Open,St. John's Recreation Center,3,Active,40.67415581,-73.93458907
E Wheelchair,POINT (-73.96990721568723 40.64896341593135),Out in Open,Parade Ground,3,Active,40.64896342,-73.96990722
B,POINT (-73.85926692487351 40.76226435493138),Out in Open,Grand Central Parkway Extension,4,Active,40.76226435,-73.85926692
Trough,POINT (-73.82619448049896 40.58042325409899),Out in Open,Rockaway Beach Boardwalk,4,Active,40.58042325,-73.82619448
A,POINT (-73.80848166960033 40.689786525291446),Out in Open,Norelli-Hargreaves Playground,4,Active,40.68978653,-73.80848167
F High Low,POINT (-74.01762953659062 40.62520542350081),Near Ballfield,McKinley Park,3,Active,40.62520542,-74.01762954
B,POINT (-73.97638599015113 40.766243278514345),Out in Open,Central Park,1,Active,40.76624328,-73.97638599
A,POINT (-73.94584926197592 40.70100544248037),"Under Tree, Just Outside Playground",Bartlett Playground,3,Active,40.70100544,-73.94584926
D,POINT (-73.82771603928383 40.77051924610753),Near Ballfield,Colden Playground,4,Active,40.77051925,-73.82771604
C,POINT (-73.77629126689317 40.728688714146614),"Near Ballfield, Out in Open",Cunningham Park,4,Active,40.72868871,-73.77629127
E Wheelchair Child,POINT (-74.07800479212811 40.57867167306871),Out in Open,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.57867167,-74.07800479
A,POINT (-73.97331674810019 40.73005176643405),"Just Outside Playground, Near Ballfield",Murphy Brothers Playground,1,Active,40.73005177,-73.97331675
D,POINT (-73.94016141572519 40.831623967598944),"Under Tree, In Playground",Highbridge Park,1,Active,40.83162397,-73.94016142
A,POINT (-73.87167975774608 40.85840865275319),Near Ballfield,Bronx Park,2,Active,40.85840865,-73.87167976
A,POINT (-74.09163387301888 40.56864763880056),Under Tree,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.56864764,-74.09163387
D,POINT (-73.9055094815747 40.863494178779064),Out in Open,Devoe Park,2,Active,40.86349418,-73.90550948
C,POINT (-73.99259462756343 40.7630768893132),"Under Tree, In Playground, Near Ballfield",Hell's Kitchen Park,1,Active,40.76307689,-73.99259463
B,POINT (-73.981157288543 40.72024247128615),In Playground,Hamilton Fish Park,1,Active,40.72024247,-73.98115729
D,POINT (-73.95131047187822 40.82323985996582),"Under Tree, In Playground",Alexander Hamilton Playground,1,Active,40.82323986,-73.95131047
D,POINT (-73.90229796210284 40.65669558264814),"Near Ballfield, Out in Open",Brownsville Playground,3,Active,40.65669558,-73.90229796
E Wheelchair,POINT (-73.89400367311778 40.86214058719842),Out in Open,Bryan Park,2,Active,40.86214059,-73.89400367
A,POINT (-73.90757561394236 40.77129606463569),In Playground,Ditmars Park,4,Active,40.77129606,-73.90757561
E Wheelchair,POINT (-74.0037933130723 40.64766613055224),In Playground,Sunset Park,3,Active,40.64766613,-74.00379331
C,POINT (-73.83988417182141 40.747073794419045),Out in Open,Flushing Meadows Corona Park,4,Active,40.74707379,-73.83988417
D,POINT (-73.75809139022529 40.70023822611175),Just Outside Playground,Daniel M. O'Connell Playground,4,Active,40.70023823,-73.75809139
C,POINT (-73.8884205725232 40.80584718690972),In Shade,Barretto Point Park,2,Active,40.80584719,-73.88842057
A,POINT (-74.00146713939306 40.59704707686056),"Near Ballfield, Out in Open",Bensonhurst Park,3,Active,40.59704708,-74.00146714
A,POINT (-73.87794682763828 40.83428868309161),"In Playground, Under Tree",Playground 174,2,Active,40.83428868,-73.87794683
C,POINT (-73.97021424670208 40.609457975986935),"Under Tree, In Shade",Colonel David Marcus Playground,3,Active,40.60945798,-73.97021425
A,POINT (-73.76531335972871 40.73933589568147),"In Playground, Under Tree",Cunningham Park,4,Active,40.7393359,-73.76531336
D,POINT (-73.89282577522499 40.891068922212774),Under Tree,Van Cortlandt Park,2,Active,40.89106892,-73.89282578
E Wheelchair,POINT (-73.95891246300837 40.765049931928665),Out in Open,St. Catherine's Park,1,Active,40.76504993,-73.95891246
E Wheelchair Dog,POINT (-73.96679287004228 40.78255067637951),Out in Open,Central Park,1,Active,40.78255068,-73.96679287
A,POINT (-73.97523816012067 40.72535513175659),"Near Ballfield, Just Outside Playground",Dry Dock Playground,1,Active,40.72535513,-73.97523816
A,POINT (-73.72085485668941 40.749716175005005),Out in Open,Castlewood Playground,4,Active,40.74971618,-73.72085486
C,POINT (-73.79030535838129 40.78962275583763),Out in Open,Little Bay Park,4,Active,40.78962276,-73.79030536
D,POINT (-73.84888312033954 40.74125044259094),In Playground,Flushing Meadows Corona Park,4,Active,40.74125044,-73.84888312
A,POINT (-73.88120636314618 40.889890621148886),,Van Cortlandt Park,2,Active,40.88989062,-73.88120636
E Wheelchair,POINT (-73.9791082538561 40.57313123793297),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57313124,-73.97910825
CS Metal,POINT (-73.89068330953168 40.88518937660467),"In Playground, Under Tree",Van Cortlandt Park,2,Active,40.88518938,-73.89068331
E Wheelchair,POINT (-74.03977950037383 40.63142967086888),Just Outside Playground,Shore Park and Parkway,3,Active,40.63142967,-74.03977950000002
B,POINT (-73.93456203107486 40.8073332037323),"Near Ballfield, Under Tree",Harlem River Park,1,Active,40.8073332,-73.93456203
B,POINT (-73.95671532508064 40.80822602822269),Near Ballfield,Morningside Park,1,Active,40.80822603,-73.95671533
E Wheelchair,POINT (-73.90939175016493 40.6921453675064),Out in Open,Irving Square Park,3,Active,40.69214537,-73.90939175
D,POINT (-73.97853356694365 40.6767692853851),In Playground,Park Slope Playground,3,Active,40.67676929,-73.97853357
A,POINT (-74.02885312877505 40.61499007342589),In Playground,John J Carty Park,3,Active,40.61499007,-74.02885313
A,POINT (-74.1063874345895 40.61852605556777),In Playground,Clove Lakes Park,5,Active,40.61852606,-74.10638743
Other,POINT (-74.01814035705519 40.70989226421826),Under Tree,Battery Park City,1,Active,40.70989226,-74.01814036
Trough,POINT (-74.01472649888572 40.7018171560957),Under Tree,The Battery,1,Active,40.70181716,-74.0147265
A,POINT (-73.91243852727207 40.66348032193584),Out in Open,Betsy Head Park,3,Active,40.66348032,-73.91243853
E Wheelchair Child,POINT (-73.88424249009556 40.67766764714974),"Out in Open, In Playground",Sperandeo Brothers Playground,3,Active,40.67766765,-73.88424249
C,POINT (-73.87419004646323 40.67889237477151),"Under Tree, In Playground",City Line Park,3,Active,40.67889237,-73.87419005
D,POINT (-73.94380470391613 40.673878979169764),Out in Open,Brower Park,3,Active,40.67387898,-73.9438047
A,POINT (-73.89862508699237 40.85743476571745),Out in Open,Slattery Playground,2,Active,40.85743477,-73.89862509
F High Low,POINT (-73.9073776407136 40.85598567812933),"Out in Open, In Playground",Grand Playground,2,Active,40.85598568,-73.90737764
A,POINT (-73.74872233817578 40.741924876219834),Near Ballfield,Alley Pond Park,4,Active,40.74192488,-73.74872234
A,POINT (-73.74016081748617 40.7415491572758),Out in Open,Alley Pond Park,4,Active,40.74154916,-73.74016082
C,POINT (-73.83954454473145 40.885913443851),"Under Tree, In Shade",Stars & Stripes Playground,2,Active,40.88591344,-73.83954454
CS Concrete,POINT (-73.9442691329235 40.682076267515086),In Playground,Potomac Playground,3,Active,40.68207627,-73.94426913
A,POINT (-74.15486448963243 40.60560056626243),Near Ballfield,Willowbrook Park,5,Active,40.60560057,-74.15486449
A,POINT (-73.897527095336 40.84076740344876),"Out in Open, In Playground",Crotona Park,2,Active,40.8407674,-73.89752709999998
B,POINT (-73.97459780401589 40.662215674813545),"Out in Open, Near Ballfield",Prospect Park,3,Active,40.66221567,-73.9745978
A,POINT (-73.83958836865396 40.690241995906945),In Playground,Maurice A Fitzgerald Playground,4,Active,40.690242,-73.83958837
C,POINT (-73.99617807724967 40.578453695074835),"Out in Open, In Playground",Kaiser Park,3,Active,40.5784537,-73.99617808
E Wheelchair,POINT (-73.97573999810126 40.57349471661161),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57349472,-73.97574
Other,POINT (-73.8504376937399 40.66470180804268),Just Outside Playground,Harold Schneiderman Playground,4,Active,40.66470181,-73.85043769
B,POINT (-73.97185761196731 40.80177439426634),"Under Tree, Out in Open",Riverside Park,1,Active,40.80177439,-73.97185761
D,POINT (-73.93216995215553 40.80441402108512),"Under Tree, Near Ballfield",Crack Is Wack Playground,1,Active,40.80441402,-73.93216995
A,POINT (-74.00586556968652 40.68270014573285),In Playground,Harold Ickes Playground,3,Active,40.68270015,-74.00586557
E Wheelchair,POINT (-73.96738302987104 40.67162886258749),Out in Open,Mount Prospect Park,3,Active,40.67162886,-73.96738303
D,POINT (-73.87104876090609 40.76610828840924),Near Ballfield,East Elmhurst Playground,4,Active,40.76610829,-73.87104876
Trough,POINT (-73.78967419479636 40.58847924944048),Out in Open,Rockaway Beach and Boardwalk,4,Active,40.58847925,-73.78967419
C,POINT (-74.02024421388293 40.60651036980262),Near Ballfield,Dyker Beach Park,3,Active,40.60651037,-74.02024421
D,POINT (-73.9846498598929 40.68007126294693),Just Outside Playground,Thomas Greene Playground,3,Active,40.68007126,-73.98464986
C,POINT (-73.89065753262187 40.65144567729125),"Out in Open, Near Ballfield, Under Tree",Breukelen Ballfields,3,Active,40.65144568,-73.89065753
C,POINT (-73.985466616316 40.672271633247604),In Playground,Washington Park,3,Active,40.67227163,-73.98546662
A,POINT (-73.78393885220133 40.84429732793301),Under Tree,Ambrosini Field,2,Active,40.84429733,-73.78393885
A,POINT (-73.95292826093136 40.82842701935805),Near Ballfield,Recreational Area,1,Active,40.82842702,-73.95292826
Pedestal,POINT (-73.92116422371254 40.793955305129515),Near Ballfield,Randall's Island Park,1,Active,40.79395531,-73.92116422
D,POINT (-73.9838498951259 40.77722615062319),"Near Ballfield, In Playground",Matthew P. Sapolin Playground,1,Active,40.77722615,-73.98384990000002
Other,POINT (-73.97058172393183 40.769456348143024),Out in Open,Central Park,1,Active,40.76945635,-73.97058172
E Wheelchair Dog,POINT (-73.97800876046308 40.76986450132491),Near Ballfield,Central Park,1,Active,40.7698645,-73.97800876
C,POINT (-73.92045504729215 40.6804355166023),"In Playground, Under Tree",Carver Playground,3,Active,40.68043552,-73.92045505
D,POINT (-73.88507160541033 40.684628079595676),Near Ballfield,Highland Park,3,Active,40.68462808,-73.88507161
C,POINT (-73.88138169461516 40.82358614797331),"In Playground, Under Tree",Colgate Close,2,Active,40.82358615,-73.88138169
A,POINT (-73.84140993709312 40.74806488168771),Under Tree,Flushing Meadows Corona Park,4,Active,40.74806488,-73.84140994
C,POINT (-74.11790868096251 40.62866113361281),Near Ballfield,Prall Playground,5,Active,40.62866113,-74.11790868
E Wheelchair Dog,POINT (-73.94301797781716 40.775721340790014),Under Tree,Carl Schurz Park,1,Active,40.77572134,-73.94301798
E Wheelchair,POINT (-73.98397289567228 40.711958714371406),"Near Ballfield, In Playground",Lillian D Wald Playground,1,Active,40.71195871,-73.98397290000003
B,POINT (-73.89814583135916 40.8181259994677),Under Tree,Rainey Park,2,Active,40.818126,-73.89814583
A,POINT (-73.912351061468 40.67415188777961),Near Ballfield,Ocean Hill Playground,3,Active,40.67415189,-73.91235106
C,POINT (-73.92328525551729 40.81090406567985),"Out in Open, Near Ballfield",Willis Playground,2,Active,40.81090407,-73.92328526
D,POINT (-73.78598136514489 40.69649198288553),"Under Tree, In Playground",Latimer Playground,4,Active,40.69649198,-73.78598137
A,POINT (-74.09036734052253 40.5691434916531),Out in Open,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.56914349,-74.09036734
E Wheelchair,POINT (-74.03622126815483 40.62641691896803),In Playground,Russell Pedersen Playground,3,Active,40.62641692,-74.03622127
D,POINT (-73.84565644191818 40.73715595289341),"Out in Open, Just Outside Playground",Grand Central Parkway Extension,4,Active,40.73715595,-73.84565644
A,POINT (-73.73699508435465 40.739314571233834),Near Ballfield,Alley Athletic Playground,4,Active,40.73931457,-73.73699508
A,POINT (-73.97992965730664 40.728350521792365),"Under Tree, In Shade, In Playground",Joseph C. Sauer Park,1,Active,40.72835052,-73.97992966
D,POINT (-73.92021295721322 40.8810071170819),"Out in Open, In Shade",Henry Hudson Park,2,Active,40.88100712,-73.92021296
C,POINT (-73.90487154211812 40.67129566595445),"Under Tree, In Shade, Out in Open",Powell Playground,3,Active,40.67129567,-73.90487154
A,POINT (-73.8531449263769 40.70140351954624),In Shade,Forest Park,4,Active,40.70140352,-73.85314493
A,POINT (-74.0194989415493 40.645804775298096),In Playground,Martin Luther Playground,3,Active,40.64580478,-74.01949894
D,POINT (-73.9177679700062 40.70981656910728),Near Ballfield,Starr Playground,4,Active,40.70981657,-73.91776797
A,POINT (-73.83987319796299 40.744550602544194),Under Tree,Flushing Meadows Corona Park,4,Active,40.7445506,-73.83987320000001
A,POINT (-74.09898541028613 40.576707167352154),Near Ballfield,Midland Field,5,Active,40.57670717,-74.09898541
C,POINT (-73.98377307062526 40.6237254938519),"In Playground, Out in Open",Gravesend Park,3,Active,40.62372549,-73.98377307
Bottle Filler Fountain,POINT (-73.92636638548342 40.78153702145111),Out in Open,Wards Island Park,1,Active,40.78153702,-73.92636639
A,POINT (-73.937946101625 40.85315471840635),In Playground,Bennett Park,1,Active,40.85315472,-73.93794609999998
