FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
E Wheelchair,POINT (-73.94567451098447 40.59200095278448),Near Ballfield,Bill Brown Playground,3,Active,40.59200095,-73.94567451
D,POINT (-73.94180667072594 40.821451442992434),"In Shade, In Playground",Renaissance Playground,1,Active,40.82145144,-73.94180667
A,POINT (-73.7839064048872 40.76053889250834),In Playground,Francis Lewis Playground,4,Active,40.76053889,-73.7839064
A,POINT (-73.93899043242507 40.81370224138313),"In Playground, Near Ballfield, Under Tree",Howard Bennett Playground,1,Active,40.81370224,-73.93899043
CS Concrete,POINT (-73.89261259883682 40.9009251540253),In Shade,Van Cortlandt Park,2,Active,40.90092515,-73.89261259999998
E Wheelchair Dog,POINT (-74.03496512264346 40.64019994141609),Out in Open,Owl's Head Park,3,Active,40.64019994,-74.03496512
Trough High Low,POINT (-73.87217561885215 40.817607924568215),Near Ballfield,Soundview Park,2,Active,40.81760792,-73.87217562
D,POINT (-73.95864159324488 40.7594905662151),Out in Open,Twenty-Four Sycamores Park,1,Active,40.75949057,-73.95864159
A,POINT (-73.77493947577639 40.67444019411596),Near Ballfield,Rochdale Park,4,Active,40.67444019,-73.77493948
E Wheelchair,POINT (-73.94294054576132 40.576762350719676),Out in Open,Manhattan Beach Park,3,Active,40.57676235,-73.94294055
E Wheelchair,POINT (-73.95740049230612 40.79302091624471),"Near Ballfield, Out in Open",Central Park,1,Active,40.79302092,-73.95740049
A,POINT (-73.81699036586781 40.775223389180425),"Out in Open, Near Ballfield",Flushing Fields,4,Active,40.77522339,-73.81699037
D,POINT (-73.75588163676494 40.686115194728565),Under Tree,Locust Manor Playground,4,Active,40.68611519,-73.75588164
A,POINT (-73.87347356972406 40.71018877411146),In Playground,Middle Village Playground,4,Active,40.71018877,-73.87347357
C,POINT (-73.85495079349782 40.756466869675336),Near Ballfield,Hinton Park,4,Active,40.75646687,-73.85495079
C,POINT (-73.85541472484225 40.74364991549613),Out in Open,William F Moore Park,4,Active,40.74364992,-73.85541472
A,POINT (-73.8539163386334 40.90227219157187),Out in Open,Wakefield Playground,2,Active,40.90227219,-73.85391634
D,POINT (-73.96342908242245 40.660662698291695),In Playground,Prospect Park,3,Active,40.6606627,-73.96342908
